Source,Target,Weight
TrolljanO,YzKencebay,6.0
modopraiano,andersonfelipev,2.0
modopraiano,YzKencebay,2.0
MurilloDanielOfficial,TrolljanO,2.0
Darwin-IA-hub,elciogiaretta-ops,2.0
claudiocastelo,Darwin-IA-hub,4.0
claudiocastelo,marcelinhov2,2.0
kunkanon,Darwin-IA-hub,2.0
asfcarvalho,Darwin-IA-hub,2.0
studiomarcanti,nicolasbarcellos,2.0
studiomarcanti,Darwin-IA-hub,2.0
studiomarcanti,fernandosegrr,4.0
pedro-vasconcelos-dev,Darwin-IA-hub,2.0
braiaagency,Darwin-IA-hub,2.0
Keven-sants,ti613,4.0
massilva,ti613,2.0
DarkWalking,ti613,4.0
juliancesar,patronotech,2.0
juliancesar,LuizLobao,2.0
juliancesar,IcaruuS22,2.0
juliancesar,linefds,2.0
juliancesar,camarigor,2.0
juliancesar,venturion,6.0
juliancesar,rbernardes,2.0
juliancesar,ti613,4.0
juliancesar,sluy,2.0
Caiohenrks,matbn,2.0
Caiohenrks,ti613,2.0
juniorerivaldo,Matheus-develope,6.0
juniorerivaldo,anirudhbagri,2.0
juniorerivaldo,ti613,2.0
juniorerivaldo,maysoncbn1-glitch,4.0
juniorerivaldo,theeusmartins,10.0
thiagomishaim,WanderleyGrecco,2.0
thiagomishaim,ti613,4.0
thiagomishaim,lokoquax,2.0
srmodid,marlonvinicius,2.0
FernandoBolzan,andersonfelipev,10.0
FernandoBolzan,Ben-Avrahami,2.0
FernandoBolzan,elciogiaretta-ops,6.0
Simplobot1,andersonfelipev,4.0
Simplobot1,vmssistemas,4.0
Dev-Rafhael,andersonfelipev,2.0
Guilhermesf27,anirudhbagri,4.0
hic000,ig0rayres,2.0
hic000,VoeonAI,2.0
eowoosh,chibancas,2.0
eowoosh,almirf,2.0
eowoosh,VRAutomatize,2.0
almirf,nicolasbarcellos,10.0
Vialc,nicolasbarcellos,4.0
Vialc,noratonegocios-ship-it,2.0
Vialc,almirf,2.0
VitorS0uza,Batt0sa1,2.0
VitorS0uza,JBdesarrollo,6.0
VitorS0uza,ddean6232,4.0
VitorS0uza,MikhailProfile,2.0
VitorS0uza,maickom88,2.0
VitorS0uza,hehuanju,2.0
VitorS0uza,danilolimar,2.0
VitorS0uza,unwarkz,2.0
TetoBertolla1,nicolasbarcellos,2.0
heydrick1,nicolasbarcellos,4.0
JustAtrasado,nicolasbarcellos,2.0
wenealves10,nicolasbarcellos,16.0
danyllolobo,nicolasbarcellos,2.0
queirozmat,nicolasbarcellos,2.0
queirozmat,s-marques,2.0
diegobrodr,nicolasbarcellos,2.0
diegobrodr,ielaineugc,2.0
maestropsi,Ben-Avrahami,2.0
maestropsi,Buglessren,2.0
maestropsi,elciogiaretta-ops,2.0
AlvaroBrasilia,mmojadad,2.0
nolramaf,PhantixRoot,2.0
nolramaf,juancresc,2.0
nolramaf,daisito,6.0
nolramaf,reisdiegoss,2.0
jhefersoncrescencio,BootecoBOot,6.0
jhefersoncrescencio,futurahaus,2.0
jhefersoncrescencio,reisdiegoss,2.0
jhefersoncrescencio,magnum1985,4.0
adrianovictorn,weblucianosoares-maker,4.0
BrianCz-Eng,weblucianosoares-maker,2.0
BrianCz-Eng,DiegoSalvati,2.0
du-medeiros,weblucianosoares-maker,2.0
Ben-Avrahami,kbetoacero,2.0
Ben-Avrahami,smartscaile,2.0
Bonilhajvv,Ben-Avrahami,2.0
gustauobr,Ben-Avrahami,2.0
raphael0627f,Ben-Avrahami,2.0
marlonvinicius,andifilhohub,2.0
marlonvinicius,Ben-Avrahami,4.0
marlonvinicius,spotmkt,4.0
lucascampuus,Ben-Avrahami,2.0
lucascampuus,marlonvinicius,2.0
kasambr,Ben-Avrahami,2.0
DanielBelorini,Ben-Avrahami,4.0
cristiandigisat-hub,Ben-Avrahami,4.0
GustavoCPrado,Ben-Avrahami,12.0
elizeufranca,Ben-Avrahami,4.0
dujobi-contato,Ben-Avrahami,2.0
leonardomnds,Ben-Avrahami,2.0
leonardomnds,RelaxSolucoes,2.0
srvelososantos,Ben-Avrahami,6.0
willDullius,Ben-Avrahami,2.0
fafadexs1,asilvacijun,2.0
hlspablo,asilvacijun,2.0
hlspablo,jjmmbb,2.0
hlspablo,josemiguelq,2.0
plalebtag,DiegoSalvati,4.0
nadersommer,DiegoSalvati,2.0
elciogiaretta-ops,marlonvinicius,2.0
AndersonVentin,elciogiaretta-ops,2.0
leotramanda,fernandosegrr,2.0
leotramanda,elciogiaretta-ops,2.0
jussimirvfx,elciogiaretta-ops,2.0
marinaninin,salmeidagois,2.0
marinaninin,elciogiaretta-ops,6.0
marinaninin,olucastoledo,4.0
RodrigoRosalin,elciogiaretta-ops,2.0
RodrigoRosalin,gptesv,2.0
FireGears,elciogiaretta-ops,2.0
msantosjader,therodmg-source,2.0
luiscorsog,GleisonOliveiraAds,2.0
luiscorsog,noratonegocios-ship-it,2.0
luiscorsog,viivaz,2.0
luiscorsog,anirudhbagri,2.0
luiscorsog,protracker251437,10.0
noratonegocios-ship-it,patrick2909,2.0
viivaz,patrick2909,2.0
viivaz,noratonegocios-ship-it,2.0
viivaz,augustosturm,2.0
viivaz,AntonioWeb-dev,2.0
AndreynBastos,patrick2909,2.0
AndreynBastos,Matheus-develope,2.0
AndreynBastos,noratonegocios-ship-it,2.0
Advfboliveira,noratonegocios-ship-it,2.0
C4stro,vianahub-pt,4.0
C4stro,carola-m,2.0
fvieir,rodrigobeber,4.0
fvieir,vianahub-pt,4.0
GustavoMenezes33,vianahub-pt,2.0
emanuelarcos,vianahub-pt,2.0
RaphaAlmeida,vianahub-pt,2.0
screamingandmore-cell,vianahub-pt,2.0
BezzerraJr,patrick2909,2.0
BezzerraJr,DanielSilvaol,2.0
BezzerraJr,willianbsb,2.0
BezzerraJr,jbenteu,2.0
BezzerraJr,marlonvinicius,2.0
BezzerraJr,trojantm,6.0
dgonzalez211,darkklin,2.0
dgonzalez211,vinicius-acruz,2.0
benjamimprofissional-web,sebastianxy,2.0
Eiai-Solutions,imaginelabpy-code,2.0
Eiai-Solutions,braiaagency,2.0
Eiai-Solutions,olucastoledo,4.0
devarsenal,Eiai-Solutions,2.0
guilhermemayrinkal,DanielSilvaol,2.0
guilhermemayrinkal,Eiai-Solutions,2.0
tam74k,Eiai-Solutions,2.0
dsnjunior,Eiai-Solutions,4.0
pelinche,Eiai-Solutions,2.0
thomasjeferssonvaz,Eiai-Solutions,2.0
thomasjeferssonvaz,lbernardo,2.0
cleberrafael,Eiai-Solutions,2.0
Samukaspc,Eiai-Solutions,2.0
Samukaspc,spotmkt,2.0
bclickdigital,Eiai-Solutions,2.0
pedrocagb,Eiai-Solutions,2.0
OussamaToumirt,accuhealth-cl,2.0
leorchrds,matbn,2.0
leorchrds,VRAutomatize,2.0
LeonardoT07,rodrigo-ogioni,2.0
vmssistemas,rodrigo-ogioni,2.0
rcarnavalli,vmssistemas,2.0
rcarnavalli,Alfr3d022,2.0
NathanMotoki,vmssistemas,2.0
XmasterFaeu,vmssistemas,4.0
matheuspoppl,vmssistemas,2.0
matheuspoppl,shorvelyn,2.0
josesapereira,vmssistemas,2.0
RenildoChavezFlujolink,vmssistemas,2.0
AlwaysPalaye,vmssistemas,2.0
luizbp,GustavoMimim,2.0
luizbp,vmssistemas,2.0
luizbp,daisito,2.0
luizbp,brunoadspro,4.0
MatheusMorais34,vmssistemas,2.0
Dheyvidj,vmssistemas,2.0
juniorxf,vmssistemas,2.0
juniorxf,felipeleite11,2.0
marcostaira,vmssistemas,4.0
aibotforproject,vmssistemas,2.0
flavio-r,vmssistemas,2.0
josealissonbr,vmssistemas,2.0
josealissonbr,luccamrofc,4.0
SuKuShaing,vmssistemas,4.0
VictoOliv,vmssistemas,2.0
CZERNOB0G,vmssistemas,4.0
chelof100,vmssistemas,2.0
oziresguisa-stack,vmssistemas,4.0
anassnammal,cassiofjardim,2.0
Gabrielribeiroic,Alfr3d022,2.0
GuilhermeBotingnon,Alfr3d022,8.0
edson-martins,Alfr3d022,2.0
rudarecordsdemo-creator,Alfr3d022,2.0
mendoncart,GustavoMimim,2.0
mendoncart,Alfr3d022,2.0
Erlonidas,Alfr3d022,2.0
NathanMuniz,nickxs1,2.0
mateusrovedaa,nickxs1,2.0
amadeujunior18,Felip3Figueredo,2.0
uendelcomu,imagine-pat,6.0
uendelcomu,Felip3Figueredo,2.0
uendelcomu,viivaz,2.0
savinnsk,Felip3Figueredo,2.0
savinnsk,hehuanju,2.0
kawhedorgy,hehuanju,2.0
DumahBrazorf,hehuanju,2.0
Davi-AMF,DanielSilvaol,2.0
Davi-AMF,daisito,10.0
Davi-AMF,hehuanju,2.0
Davi-AMF,lokoquax,2.0
ARMCardoso,hehuanju,2.0
marcelongf,hehuanju,2.0
rdelphino,Matheus-develope,2.0
rdelphino,hehuanju,2.0
asuma312,pablodiegoo,4.0
asuma312,hehuanju,2.0
dkydivyansh,hehuanju,2.0
oademarlima,spotmkt,2.0
oademarlima,viivaz,4.0
acacioegas,viivaz,2.0
acacioegas,AntonioWeb-dev,2.0
DiegoCostantino,viivaz,2.0
DiegoCostantino,shorvelyn,2.0
thiagocalixtoo,viivaz,2.0
thiagocalixtoo,sluy,2.0
rodrigobeber,yuri12344,2.0
rodrigobeber,braunericardo,2.0
adhubmarketing,spotmkt,2.0
Jeffmartt,magnum1985,4.0
italotkh,magnum1985,4.0
lucasthompsonamg,magnum1985,2.0
valessiobrito,JBdesarrollo,2.0
valessiobrito,magnum1985,2.0
Lucasbrunoferreira,LuizLobao,2.0
Lucasbrunoferreira,JBdesarrollo,2.0
Lucasbrunoferreira,andifilhohub,2.0
Lucasbrunoferreira,juancresc,2.0
Lucasbrunoferreira,magnum1985,2.0
adrianokelvio,vitorbrrs,2.0
spotmkt,joao-baza,4.0
Indaiahub,spotmkt,2.0
Issami96,spotmkt,4.0
Issami96,thexiox,2.0
vgdss,spotmkt,2.0
Bru-noSouza,spotmkt,2.0
wlustosaadv,spotmkt,4.0
willoak,spotmkt,2.0
carlosadmjr,spotmkt,2.0
wolffeduardo,spotmkt,2.0
Tecnicasoft,spotmkt,2.0
joaops2305,spotmkt,2.0
lucassan94,spotmkt,2.0
py-danilopontes,spotmkt,2.0
py-danilopontes,thexiox,4.0
andreteodoroalves,spotmkt,2.0
Edder097,spotmkt,2.0
yuri12344,JBdesarrollo,2.0
yuri12344,marinadilda,2.0
yuri12344,anirudhbagri,6.0
daisito,anirudhbagri,2.0
ldelvalleh,anirudhbagri,4.0
ldelvalleh,daisito,4.0
sectorres,daisito,2.0
OctavioB17,daisito,2.0
jcbsantos2015-code,daisito,2.0
MagaliL,daisito,2.0
Adilmar,daisito,2.0
danfelbm,daisito,2.0
danfelbm,gabrielhhaber,2.0
luisitochavarria-bit,daisito,4.0
shsolutions,daisito,2.0
MRegit,daisito,2.0
WalissonPires,daisito,2.0
fabriciomoreirao,Guilhermesf27,2.0
NascimentoRobsonSantos,Guilhermesf27,2.0
JeromeNelsonC,Guilhermesf27,2.0
MattCarneiro,vinicin7,2.0
MattCarneiro,abioluz,4.0
MattCarneiro,dv336699,2.0
MattCarneiro,vinicius-acruz,2.0
MattCarneiro,lucasnp92,2.0
MattCarneiro,johnnybs2,2.0
MattCarneiro,OscarAgent,2.0
MattCarneiro,rcesar,2.0
MattCarneiro,cleytoncoro,8.0
MattCarneiro,luiscorsog,2.0
MattCarneiro,Guilhermesf27,2.0
MattCarneiro,iamedusm,2.0
MattCarneiro,gkp1,6.0
MattCarneiro,TiagoGouvea,2.0
DjotaHasse,anirudhbagri,4.0
diegobentes,anirudhbagri,2.0
srvictorbatista,patronotech,4.0
srvictorbatista,luiz10leite-glitch,2.0
srvictorbatista,anirudhbagri,2.0
srvictorbatista,almirb,2.0
B3rr2304,anirudhbagri,2.0
BodeDimitri,anirudhbagri,6.0
BodeDimitri,liota,4.0
MuriloFernandesDev,anirudhbagri,2.0
brjorgedavid,anirudhbagri,2.0
RafaelCardozo02,LuizLobao,2.0
hiuryr,LuizLobao,2.0
lfelizari,LuizLobao,4.0
Emanuellefelix,LuizLobao,2.0
mhanelia,LuizLobao,2.0
mhanelia,shorvelyn,2.0
VilasBoas23,LuizLobao,2.0
luispimenta,LuizLobao,2.0
luispimenta,DanielSilvaol,8.0
luispimenta,miltonbastos,4.0
luispimenta,natanlopes01,2.0
luispimenta,joaosouz4dev,2.0
luispimenta,gkp1,2.0
ig0rayres,BootecoBOot,4.0
Miliotte,Matheus-develope,6.0
Miliotte,ig0rayres,2.0
acelmec,ig0rayres,2.0
andrefrancco,vinimerida,2.0
beliza0014,shorvelyn,2.0
agenciabrvdd,avaleadoficial,2.0
danilodoc,GustavoMimim,12.0
jicasa03,GustavoMimim,6.0
geopreguica-a11y,GustavoMimim,6.0
fehhmont,GustavoMimim,4.0
rafahoff,GustavoMimim,2.0
yMelu,Bluteco,2.0
gcomartins,Bluteco,2.0
sandersonrps,Bluteco,2.0
oferrariai,brunoadspro,2.0
uzieljr,JBdesarrollo,2.0
uzieljr,brunoadspro,2.0
uzieljr,VRAutomatize,2.0
RamonRodSou,brunoadspro,2.0
Thuglife22741,brunoadspro,2.0
danielkv,DanielSilvaol,2.0
danielkv,sebastianxy,2.0
danielkv,LeonardoSFreire,2.0
danielkv,GustavoNevez,2.0
jheissonn,GustavoNevez,2.0
FilippiAraujo,Matheus-develope,2.0
FilippiAraujo,Arenaz3,4.0
FilippiAraujo,leofelipet,4.0
FilippiAraujo,GustavoNevez,2.0
juniorcastr,sebastianxy,4.0
Aurelianny,sebastianxy,2.0
bmoweb,sebastianxy,2.0
Marcusluca,BootecoBOot,2.0
Marcusluca,sebastianxy,2.0
Marcusluca,gabrielhhaber,2.0
rbarcelo,sebastianxy,2.0
MatheusLedstar,yydevelopment,4.0
saviosprinty,shorvelyn,2.0
lostmga,shorvelyn,2.0
